sub_category,use_case,permit_count,total_value,average_value,median_value,total_fees,average_fee,avg_processing_days,median_processing_days,top_applicant_1,top_applicant_1_count,top_applicant_2,top_applicant_2_count,top_applicant_3,top_applicant_3_count,top_applicant_4,top_applicant_4_count,top_applicant_5,top_applicant_5_count,top_neighborhood_1,top_neighborhood_1_count,top_neighborhood_2,top_neighborhood_2_count,top_neighborhood_3,top_neighborhood_3_count
Building,Remodel,43814,12767455617.17,291401.2785221619,20000.0,154766187.45000002,3546.754685351545,389.97748227895323,205.0,ZEMAN CONSTRUCTION CO,2519,GITTLEMAN CONSTRUCTION & MAINTENANCE CORPORATION,1130,ADVANCED MASONRY RESTORATION INC,868,BUILDING RESTORATION CORPORATION,763.0,FAIR AND SQUARE REMODELING LLC,709.0,Loring Park,6916,Downtown West,3964,Nicollet Island - East Bank,2702
Building,"Reroofs (shingle/pitched roof only), Siding, Window Replacements",39767,684465946.7492,17211.908033022355,9768.0,15083508.180000002,380.0042370191218,250.55890041076609,90.0,RENEWAL BY ANDERSEN CORP,3224,THE HOME DEPOT,1274,PELLA NORTHLAND,1138,KAUFMAN SHEET METAL ROOFING INC,872.0,LEGACY RESTORATION LLC,563.0,Standish,1440,Howe,1376,Hiawatha,1132
Building,"Accessory (detached garage, pools, sheds)",21310,4895993357.035001,229750.97874401693,15000.0,84922205.68,3995.5869803331143,298.07868665387207,128.0,KAUFMAN SHEET METAL ROOFING INC,846,"Minneapolis Garage Builders, LLC",802,SELA ROOFING AND REMODELING INC,747,SUSSEL CORP,676.0,Hoffmann and Uhlhorn Construction,556.0,Loring Park,966,Standish,948,Howe,915
Building,"Addition (Room, story, decks, dormers)",12046,4012643084.2599998,333110.00201394653,15445.0,81933086.78,6823.776695261098,393.48313140726935,225.0,GITTLEMAN CONSTRUCTION & MAINTENANCE CORPORATION,514,JOSEPH ALAN UHLHORN,511,MINT ROOFING,365,Hage Construction Co,326.0,eRoof LLC,270.0,Loring Park,1130,Linden Hills,473,Nicollet Island - East Bank,412
Building,Dwelling Unit Finish,4580,2163105289.74,472293.73138427944,11500.0,21901792.689999998,5222.1727920839285,375.62125340599454,152.0,WL HALL COMPANY,510,Riverdale Ventures Legacy LLC,383,RESTORATION PROFESSIONALS MN,364,RENEWAL BY ANDERSEN CORP,94.0,MODEEN COMPANY,61.0,Loring Park,548,Downtown East,421,Nicollet Island - East Bank,408
Building,Flat roof only,3374,280429322.4,83114.79620628334,31710.5,3877161.5599999996,1154.604395473496,433.05641394178946,196.0,MINT ROOFING,375,KAUFMAN SHEET METAL ROOFING INC,315,WALKER ROOFING CO,272,PINNACLE ROOFING SYSTEMS,159.0,SELA ROOFING AND REMODELING INC,148.0,Nicollet Island - East Bank,369,Marcy Holmes,287,Hiawatha,194
Building,New Construction,333,1344265676.52,4036833.8634234234,200000.0,37863975.230000004,115088.07060790274,557.1153846153846,452.5,FRERICHS CONSTRUCTION CO,12,eRoof LLC,10,"2800 Partners, LLC",10,Sustainable 9 Design And Build,8.0,WEIS BUILDERS,8.0,Linden Hills,21,Bryn - Mawr,16,North Loop,13
Mechanical,A/C or Heat pump add on or replacement,22058,3430427579.3599997,155518.52295584365,0.0,49589780.96,2277.2676781778105,299.45737587197374,98.0,Standard Heating and Air Conditioning Inc,2185,CENTERPOINT ENERGY,1746,Ray N Welter Heating Co,733,SEDGWICK HEATING & AIR CONDITIONING,718.0,ST PAUL PLUMBING AND HEATING CO INC,555.0,Loring Park,1061,Linden Hills,731,Fulton,622
Mechanical,Change out furnace (plenum work included),16804,13884481.270000001,826.2604897643419,0.0,2470321.3200000008,147.3587043664997,296.5804524400886,63.0,Standard Heating and Air Conditioning Inc,2541,Ray N Welter Heating Co,863,CENTERPOINT ENERGY,695,Centraire Heating & Air Conditioning LLC,680.0,BONFES PLUMBING HEATING AND AIR SERVICE INC,668.0,Howe,534,Standish,516,Willard - Hay,437
Mechanical,Change out boiler (incidental piping included),8123,180864760.98999998,22265.759077926872,0.0,21381208.689999983,2637.701540833948,325.1493488876831,130.5,MOORHEAD MACHINERY AND BOILER CO,780,TEAM MECHANICAL INC,595,Standard Heating and Air Conditioning Inc,482,UPTOWN PLUMBING HEATING AND COOLING,476.0,Airic's Heating & Air Conditioning Inc,359.0,Loring Park,535,King Field,387,Lynnhurst,350
Mechanical,Bath fans,5080,31963512.9,6292.030098425196,0.0,959845.3899999999,189.13209655172412,197.27620041753653,79.0,PRACTICAL SYSTEMS AND DUCTWORK HEATING AND COOLING,264,Perfection Heating and Air Conditioning Inc,236,4Front Energy Solutions Inc,226,Centraire Heating & Air Conditioning LLC,213.0,Sayler Heating & Air Conditioning Inc,175.0,Linden Hills,204,Lynnhurst,183,Fulton,161
Mechanical,Kitchen vent (CFM),1903,11928068.71,6268.034004203889,0.0,366166.74,192.71933684210526,207.39661016949154,127.0,Horwitz LLC,251,4Front Energy Solutions Inc,101,PRACTICAL SYSTEMS AND DUCTWORK HEATING AND COOLING,79,TEAM MECHANICAL INC,78.0,Super Heating and Cooling LLC,60.0,Cedar - Isles - Dean,273,Linden Hills,92,Fulton,73
Mechanical,Gas piping (include linear feet),1232,9312008.19,7558.44820616883,1422.5,282830.67,231.63855036855037,169.64260869565217,28.5,Horwitz LLC,346,BWS Heating and Air Conditioning LLC,61,Perfection Heating and Air Conditioning Inc,30,Faircon Service Co,28.0,TWIN CITY HEATING AND AIR,25.0,Cedar - Isles - Dean,267,Loring Park,92,West Maka Ska,61
Mechanical,Dryer vent,238,1307789.0,5494.911764705882,0.0,38079.79000000001,161.3550423728814,221.70232558139534,61.0,Perfection Heating and Air Conditioning Inc,19,Metro Heating & Cooling LLC,13,Centraire Heating & Air Conditioning LLC,11,360 Heating and Air Conditioning  LLC,10.0,APOLLO HEATING AND AIR,9.0,North Loop,10,Lowry Hill,10,Downtown West,10
Mechanical,HRV/ERV,183,14225847.35,77736.87076502731,5650.0,226332.34999999998,1250.4549723756904,259.64942528735634,104.5,Custom Refrigeration Inc,23,MODERN HEATING AND AIR CONDITIONING INC,7,Airtech Thermex LLC,6,Absolute Mechanical LLC,6.0,Standard Heating and Air Conditioning Inc,5.0,Downtown West,25,Linden Hills,10,North Loop,8
Plumbing,Gas meter,36565,0.0,0.0,0.0,3105890.190000001,84.96020433843042,328.0313522114506,308.0,CenterPoint Energy Resource Corp,30371,CENTERPOINT ENERGY,6014,Andrew Pyper,21,Weld and Sons Plumbing Inc,13.0,Norblom Plumbing Co,10.0,Howe,1725,Standish,1438,Waite Park,1295
Plumbing,Water heater,27459,37796.0,1.3764521650460686,0.0,4726910.99,172.85566408249835,340.8457252877801,79.0,Urban Pine Plumbing and Mechanical Inc,5169,CHAMPION PLUMBING LLC,2197,Norblom Plumbing Co,1036,Water Heaters Now Inc,899.0,SODERLIN PLUMBING HEATING AND AIR,804.0,Howe,769,Linden Hills,750,Hiawatha,735
Plumbing,Dishwasher install,7044,0.0,0.0,0.0,684566.1000000001,97.69745968317399,424.0684750248098,400.0,Warners Stellian Co Inc,4224,MN Plumbing & Home Services INC,1305,MINNESOTA PLUMBING AND HEATING INC,412,MN PLUMBING AND APPLIANCES,186.0,Cities 1 Plumbing and Heating Inc,62.0,Loring Park,1969,Downtown West,1095,Nicollet Island - East Bank,585
Plumbing,Toilet install,6952,0.0,0.0,0.0,1538537.0299999998,222.49270137382499,262.81033386327505,117.0,Cities 1 Plumbing and Heating Inc,290,Weld and Sons Plumbing Inc,273,PPS Plumbing LLC,222,Norblom Plumbing Co,204.0,North Central Plumbing Inc,158.0,Downtown West,540,Loring Park,290,Hiawatha,278
Plumbing,Shower install,3296,0.0,0.0,0.0,532068.6100000001,161.82135340632607,347.72910163024625,122.0,Mad City Windows & Bath,257,ED'S PLUMBING AND HEATING,235,Minnesota Rusco Inc,174,CASTLE MASTER MECHANICAL,172.0,Cities 1 Plumbing and Heating Inc,165.0,Downtown West,419,Hiawatha,276,Minnehaha,242
Plumbing,Sink - kitchen,3232,0.0,0.0,0.0,547593.06,171.06937207122775,246.5968992248062,90.0,Perfection Plumbing LLC,204,Cities 1 Plumbing and Heating Inc,177,POWER PLUMBING LLC,130,Weld and Sons Plumbing Inc,110.0,Erik Nelson Plumbing LLC,100.0,Downtown West,417,North Loop,167,Marcy Holmes,166
Plumbing,Bathtub install,308,0.0,0.0,0.0,35735.90000000001,116.40358306188928,291.9751773049645,65.0,Cities 1 Plumbing and Heating Inc,17,Urban Pine Plumbing and Mechanical Inc,16,US Patio Systems Inc.,13,ED'S PLUMBING AND HEATING,12.0,Weld and Sons Plumbing Inc,12.0,Downtown West,23,Ventura Village,12,Webber - Camden,9
Plumbing,Backflow device (non-testable),273,0.0,0.0,0.0,27731.800000000003,101.58168498168499,147.13833992094862,19.0,SODERLIN PLUMBING HEATING AND AIR,36,Weld and Sons Plumbing Inc,8,Ike's Plumbing & Drain Cleaning Inc,6,BURNOMATIC,5.0,BONFES PLUMBING HEATING AND AIR SERVICE INC,5.0,Linden Hills,11,Downtown West,10,Lyndale,10
Plumbing,Lavatory - bathroom sink install,222,2060.0,9.27927927927928,0.0,44665.01000000001,203.02277272727278,239.7892156862745,55.0,Cities 1 Plumbing and Heating Inc,9,Erik Nelson Plumbing LLC,9,B and D Plumbing Heating and A/C Inc,8,GITTLEMAN CONSTRUCTION & MAINTENANCE CORPORATION,7.0,Horwitz LLC,7.0,Downtown West,33,North Loop,11,Standish,7
Sign,Sign installation,612,166365815.9,271839.5684640523,8600.0,2790621.99,4567.302765957447,302.3137254901961,180.0,KGI WIRELESS,204,ADVANCED MASONRY RESTORATION INC,65,SHEEHY CONSTRUCTION,21,BIGELOW AND CO INC,12.0,SAC WIRELESS ON B / O AT AND T MOBILITY,9.0,Minnehaha,203,Marcy Holmes,92,Downtown West,35
Soil erosion,"Grading, landscaping, paving, sidewalk, driveway, curb cut",3,3299046.0,1099682.0,1149046.0,41402.08,13800.693333333335,388.0,388.0,MORCON CONSTRUCTION CO INC,1,BAUER DESIGN BUILD,1,RJM CONSTRUCTION,1,,,,,Loring Park,1,Near - North,1,North Loop,1
Solar,Solar panels,2993,72288563.76,24152.543855663214,7395.0,1791024.98,598.8047408893347,189.31158053564693,76.0,ALL ENERGY SOLAR INC,1338,TRUNORTH SOLAR,231,"BRS Field Ops, LLC",147,Wolf River Electric,143.0,(Solar Work) Apadana LLC,103.0,Standish,115,Linden Hills,113,Howe,111
Wrecking,Demolition,912,27540473.740000002,30197.88787280702,13000.0,456939.19999999995,516.3154802259886,417.68518518518516,242.5,Bollig and Sons Inc,101,DLO Excavating LLC,88,Nitti Rolloff Services Inc,67,Don & Wayne Excavating LLC,61.0,Carl Bolander and Sons LLC,36.0,Linden Hills,83,Marcy Holmes,49,Fulton,46
